,German,English
0,ich, I
1,sie, she
2,das, the
3,ist, is
4,du, you
5,nicht, not
6,die, the
7,es, it
8,und, and
9,der, the
10,wir, weather
11,was, What
12,zu, to
13,er, he
14,ein, a
15,in, in
16,ja, Yes
17,mir, me
18,mit, with
19,wie, how
20,den, the
21,mich, me
22,auf, on
23,dass, that
24,aber, but
25,eine, one
26,so, so
27,hat, Has
28,hier, here
29,haben, to have
30,f?r, for
31,sind, are
32,war, was
33,von, from
34,wenn, if
35,dich, you
36,ihr, your
37,nein, no
38,habe, have
39,an, at
40,bin, am
41,noch, still
42,nur, only
43,da, there
44,dir, to you
45,sich, themselves
46,uns, US
47,hast, have
48,dem, to the
49,kann, can
50,gut, Well
51,auch, even
52,schon, beautiful
53,als, as
54,sein, be
55,mal, times
56,jetzt, now
57,ihn, him
58,dann, then
59,aus, the end
60,meine, my
61,um, around
62,im, in the
63,wird, will
64,mein, my
65,bist, are you
66,doch, but
67,alles, All
68,wei?, White
69,keine, no
70,oder, or
71,nach, after
72,s, s
73,nichts, nothing
74,man, one
75,muss, got to
76,werden, will
77,will, want
78,ihnen, them
79,geht, goes
80,wo, Where
81,etwas, some
82,oh, Oh
83,mehr, more
84,bei, at
85,also, so
86,bitte, You're welcome
87,immer, always
88,hab, have
89,warum, why
90,vor, before
91,los, Come on
92,konnen, can
93,wieder, again
94,sagen, to say
95,machen, do
96,danke, thanks
97,sehr, very
98,alle, Everyone
99,denn, because
100,mann, man
101,tun, to do
102,ihm, him
103,zum, to the
104,gehen, walk
105,sehen, see
106,vielleicht, perhaps
107,einem, a
108,wer, who
109,ihre, their
110,diese, these
111,euch, you
112,einer, a
113,komm, come over
114,uber, above
115,gibt, gives
116,okay, OK
117,wissen, to know
118,deine, yours
119,mussen, have to
120,soll, target
121,werde, will
122,nie, never
123,wirklich, really
124,hey, hey
125,kein, no
126,viel, much
127,weg, path
128,w?rde, would
129,tut, does
130,am, at the
131,des, of
132,einfach, simple
133,leben, Life
134,hatte, would have
135,zeit, Time
136,weil, because
137,willst, want
